Buyers,Seller 1,Seller 2,Seller 3,Seller 4,AveragePrice, AverageDistance, RaijJainFairness
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.9251740462333092
Buyer 2,, [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist] [$=9282 x=823 d=dist],854.5199886039888,avgDist,0.9251740462333092
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist],,,1533.7083986117996,avgDist,0.12310625315863337
Buyer 2,, [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist] [$=9282 x=823 d=dist] [$=7752 x=753 d=dist],-697.6509970089731,avgDist,0.12310625315863337
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1269.5151168468783,avgDist,0.6632586078866886
Buyer 2,, [$=7563 x=498 d=dist],,,7563.0,avgDist,0.6632586078866886
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1269.5151168468783,avgDist,0.7159821935214022
Buyer 2,, [$=7563 x=498 d=dist] [$=8024 x=294 d=dist],,,5589.532424242424,avgDist,0.7159821935214022
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1269.5151168468783,avgDist,0.6847723458021243
Buyer 2,, [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist],,6627.520484429066,avgDist,0.6847723458021243
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1269.5151168468783,avgDist,0.8134416927406652
Buyer 2,, [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist],,3602.9204570567554,avgDist,0.8134416927406652
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1269.5151168468783,avgDist,0.8516380667567258
Buyer 2,, [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist],,3088.4522068039387,avgDist,0.8516380667567258
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1269.5151168468783,avgDist,0.8236332922328385
Buyer 2,, [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist],3456.4126707834816,avgDist,0.8236332922328385
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1269.5151168468783,avgDist,0.8616412005669745
Buyer 2,, [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist],2967.280524557301,avgDist,0.8616412005669745
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1269.5151168468783,avgDist,0.9280801598193913
Buyer 2,, [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist],2248.9790478841874,avgDist,0.9280801598193913
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1269.5151168468783,avgDist,0.9188328956950178
Buyer 2,, [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist] [$=9282 x=823 d=dist],687.7771189127978,avgDist,0.9188328956950178
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist],,,1269.5151168468783,avgDist,0.005391969456912394
Buyer 2,, [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist] [$=9282 x=823 d=dist] [$=7752 x=753 d=dist],-1095.3899883900926,avgDist,0.005391969456912394
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist], [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist],,,466.03094799405636,avgDist,0.5578843715375811
Buyer 2,, [$=8024 x=294 d=dist],,,8024.0,avgDist,0.5578843715375811
